0,3.71,0,0,0,0,0,0,0,6.4,0,0,0,0

3.71,0,1.84,5.12,0,0,0,0,0,0,0,0,0,0

0,1.84,0,3.96,0,0,2.51,0,0,0,0,0,0,0

0,5.12,3.96,0,1.01,2.03,3.61,0,0,0,0,0,0,0

0,0,0,1.01,0,1.93,0,0,0,0,0,0,0,0

0,0,0,2.03,1.93,0,0,0,2.41,0,0,0,0,0

0,0,2.51,3.61,0,0,0,0,2.87,3.05,0,0,0,0

0,0,0,0,0,0,0,0,1.08,0,1.9,0,0,0

0,0,0,0,0,2.41,2.87,1.08,0,0,0,1.6,0,0

6.4,0,0,0,0,0,3.05,0,0,0,0,3.01,0,3.61

0,0,0,0,0,0,0,1.9,0,0,0,1.01,1.91,0

0,0,0,0,0,0,0,0,1.6,3.01,1.01,0,0,2

0,0,0,0,0,0,0,0,0,0,1.91,0,0,0.51

0,0,0,0,0,0,0,0,0,3.61,0,2,0.51,0
