A,3.7065,-0.0058774,0.070284,-0.32337,0.72238,-0.79566,0.4521,-0.020978,0.99999,0.0021795,-0.027297,0.12725,-0.28498,0.31652,-0.16985,1.031,6,0,-0.001998,0.02004,-0.07704,0.1407,-0.1235,0.07223,0.01184;
B,1.8374,-0.035689,0.16808,-0.3168,0.50507,-0.71996,0.40859,0.8277,2.5002,0.0035053,-0.065111,0.2248,-0.039627,-0.57083,0.44765,-0.52685,9.0002,0,0.02983,-0.1999,0.4506,-0.3397,-0.01909,0.05661,0.02503;
C,3.6906,0.0021992,-0.033091,0.19727,-0.58952,0.92236,-0.71054,1.1433,4,-0.0017049,0.040296,-0.32619,1.2299,-2.3409,2.1778,-0.47375,8,0,0.001201,-0.01499,-0.07243,0.1728,-0.2125,0.08938,0.04335;
D,1.0008,0,0,0,0,0,0.0002076,0.999,7.5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0.01,-0.04498;
E,1.0441,0,0,0,0,0,0,0.2873,7.2,0,0,0,0,0,0,-0.9578,10,0,0,0,0,0,0,0,-0.00813;
F,2.0224,0,0,0,0,0,0,0.1483,7.5,0,0,0,0,0,0,-0.9889,9,0,0,0,0,0,0,0,0.004447;
G,2.4089,0,0,0,0,0,0.01823,0.03911,7.8,0,0,0,0,0,0.001621,-1,7,0,0,0,0,0,0,-0.005072,0.00623;
H,1.6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,-1,4.6,0,0,0,0,0,0,0,-0.001946;
I,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,-1,3,0,0,0,0,0,0,0,-0.004059;
J,1.0198,0,0,0,0,0,0,-0.1961,8,0,0,0,0,0,0,-0.9805,1,0,0,0,0,0,0,0,-0.008879;
K,3.0008,0,0,0,0,0,0,-0.9995,8,0,0,0,0,0,0,-0,3,0,0,0,0,0,0,-0.02671,0.04788;
L,6.3996,0,0.001688,-0.03652,0.2937,-1.057,1.623,-1.54,5,-0.0001417,0.003327,-0.02717,0.0701,0.1515,-0.7382,-0.02726,3,0,0.0001674,-0.003117,0.02025,-0.04806,0.0009844,0.08764,-0.04911;
M,1.0007,0,0,0,0,0,0,-0.9993,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.03828;
N1,5.1142,0,0,-0.001605,0.01965,-0.08735,0.1727,0.8494,2.501,0,0,-0.001704,0.01194,0.003046,-0.1864,0.4422,9.003,0,0,0,0.0007862,-0.006869,0.02056,-0.05466,0.09369;
N2,3.6056,0,0,0,0,0,0,-0.5547,7.5,0,0,0,0,0,0,-0.832,9,0,0,0,0,0,0,0,0.005332;
N3,3.0431,0,0,0,0,0,0.02102,-0.2283,5.5,0,0,0,0,0,-0.003481,-0.9752,6,0,0,0,0,0,0,0.01076,-0.01316;
N4,3.6065,0,0,0,0,0,0,0.8321,5,0,0,0,0,0,0,-0.5548,3,0,0,0,0,0,0,-0.02381,0.03435;
N5,0.5002,0,0,0,0,0,0,0.9996,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.02777;
N6,0.5001,0,0,0,0,0,0,0,9.5,0,0,0,0,0,0,0.9999,1.5,0,0,0,0,0,0,0,-0.01716;
N7,0.5000,0,0,0,0,0,0,0,9.5,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0.002496;
N8,1.0777,0,0,0,0,0,0,-0.9279,9,0,0,0,0,0,0,-0.3712,5,0,0,0,0,0,0,0,0.03465;
N9,2.8657,0,0,0,0,0,0,-0.8723,8,0,0,0,0,0,0,0.4885,4.6,0,0,0,0,0,0,-0.02295,0.03636;
N10,2.5016,0,0,0,0,0,0.02044,-0.6508,5.5,0,0,0,0,0,0.01538,0.761,6,0,0,0,0,0,0,0.009013,-0.02539;
N11,1.9217,0,0,0,0,0,0,0.6244,7.8,0,0,0,0,0,0,0.7806,7,0,0,0,0,0,0,0,-0.02802;
